,지역,상호,주소,상표,셀프여부,경유,lat,lng
0,대전광역시,대전셀프주유소,대전 동구 계족로 436 (용전동),SK에너지,Y,1288,36.350607200000006,127.4327015
1,대전광역시,(주)덕성하늘셀프주유소,대전 동구 대전로 283,SK에너지,Y,1293,36.293546299999996,127.461344
2,대전광역시,(주)하늘셀프주유소,대전 동구 대전로 549,SK에너지,Y,1293,36.31158129999999,127.44460890000002
3,대전광역시,산내제일주유소,대전 동구 대전로 269 (대성동),S-OIL,Y,1293,36.292263899999995,127.46215330000001
4,대전광역시,재하주유소,대전 동구 동서대로 1664 (성남동),현대오일뱅크,Y,1305,36.348105100000005,127.4349378
5,대전광역시,현암주유소,대전 동구 동서대로 1494 (삼성동),GS칼텍스,Y,1294,36.3392556,127.4200345
6,대전광역시,광장주유소,대전 동구 계족로 305 (성남동),SK에너지,Y,1289,36.339472799999996,127.43643270000001
7,대전광역시,참좋은주유소,대전 동구 계족로 501 (용전동),SK에너지,Y,1309,36.356528000000004,127.4324345
8,대전광역시,성한주유소,대전 동구 동대전로 320 (가양동),GS칼텍스,Y,1308,36.3492864,127.44371509999998
9,대전광역시,일등주유소,대전 동구 계족로 249 (소제동),자가상표,N,1299,36.3350308,127.4389821
10,대전광역시,(주)동건에너지 삼호셀프주유소,대전 동구 중앙로 280,현대오일뱅크,Y,1314,36.33317419999999,127.43935520000001
11,대전광역시,(주)신영에너지,대전 동구 동대전로 253 (가양동),S-OIL,Y,1315,36.3436971,127.44668700000001
12,대전광역시,아원주유소,대전 동구 계족로 326 (성남동),현대오일뱅크,Y,1314,36.3414348,127.4360465
13,대전광역시,산내행복셀프주유소,대전 동구 대전로 292 (대성동),SK에너지,Y,1299,36.294276700000005,127.46183559999999
14,대전광역시,(주)학하 삼성셀프주유소,대전 동구 대전로 908 (삼성동),S-OIL,Y,1325,36.33969829999999,127.42775209999999
15,대전광역시,호원셀프주유소,대전 동구 한밭대로 1315 (용전동),현대오일뱅크,Y,1307,36.352374100000006,127.44122409999999
16,대전광역시,고향주유소,대전 동구 산내로 562 (상소동),현대오일뱅크,N,1317,36.2543226,127.4628518
17,대전광역시,태암주유소,대전 동구 대전로 264 (대성동),현대오일뱅크,N,1317,36.2918559,127.4630189
18,대전광역시,매봉주유소,대전 동구 우암로 247 (가양동),SK에너지,Y,1319,36.3445511,127.4434992
19,대전광역시,동아주유소,대전 동구 동대전로 118 (대동),현대오일뱅크,Y,1318,36.332547600000005,127.4452977
20,대전광역시,유원주유소,대전 동구 계족로 513 (용전동),GS칼텍스,Y,1319,36.3574589,127.4324189
21,대전광역시,태양주유소,대전 동구 한밭대로 1258 (용전동),SK에너지,Y,1309,36.3554804,127.4361647
22,대전광역시,㈜용운주유소,대전 동구 백룡로 77 (용운동),알뜰주유소,Y,1329,36.3331331,127.45422909999999
23,대전광역시,대성주유소,대전 동구 우암로 316 (가양동),S-OIL,Y,1319,36.3473374,127.4504223
24,대전광역시,sk대동주유소,대전광역시 동구 계족로140번길 73 (용운동),SK에너지,Y,1329,36.3266994,127.44861259999999
25,대전광역시,(주)한마음석유 대신주유소,대전광역시 동구 계족로 126,GS칼텍스,Y,1348,36.325545299999995,127.44556899999999
26,대전광역시,가양주유소,대전 동구 우암로 365 (가양동),알뜰주유소,N,1329,36.351426700000005,127.45246809999999
27,대전광역시,내트럭(주)남대전사업소,대전 동구 대전로 15,SK에너지,N,1349,36.346087,127.4194803
28,대전광역시,서울국제(주) 국제주유소,대전 동구 우암로 300 (가양동),SK에너지,N,1345,36.3466446,127.4489188
29,대전광역시,우정주유소,대전 동구 옥천로 418 (삼정동),S-OIL,Y,1388,36.328911700000006,127.4748696
30,대전광역시,신가오주유소,대전 동구 은어송로 38 (가오동),SK에너지,N,1379,36.304964500000004,127.45442209999999
31,대전광역시,sk네트웍스(주)셀프스토리,대전광역시 동구  홍도로 8-16 (홍도동),SK에너지,Y,1365,36.3473287,127.43086470000001
32,대전광역시,신고개주유소,대전 동구 새울로 38 (용운동),S-OIL,N,1436,36.321776299999996,127.4629429
33,대전광역시,동원(대전),대전 동구 옥천로351번길 1-4 (삼정동),SK에너지,N,1499,36.3259489,127.4728236
34,대전광역시,동명주유소,대전 동구 한밭대로 1239 (용전동),SK에너지,N,1576,36.3571725,127.4354973
35,대전광역시,주홍셀프,대전 서구 도산로 475 (탄방동),GS칼텍스,Y,1288,36.344151399999994,127.4003611
36,대전광역시,탄방주유소,대전 서구 유등로 659,알뜰주유소,Y,1289,36.3458019,127.40132320000001
37,대전광역시,삼부주유소,대전 서구 변동로 114 (변동),현대오일뱅크,Y,1279,36.3232706,127.38514040000001
38,대전광역시,그린주유소,대전 서구 동서대로 953 (내동),알뜰주유소,Y,1299,36.3347041,127.3685983
39,대전광역시,혜천셀프주유소,대전 서구 혜천로 28 (정림동),GS칼텍스,Y,1295,36.3066101,127.3697424
40,대전광역시,(주)가수원하늘셀프주유소,대전 서구 계백로 1176 (가수원동),SK에너지,Y,1295,36.304958299999996,127.35423279999999
41,대전광역시,대림주유소,대전 서구  계백로1290 (정림동),GS칼텍스,Y,1295,36.3077859,127.366271
42,대전광역시,중도석유(주)도마동주유소,대전 서구 계백로 1371 (도마동),GS칼텍스,Y,1295,36.310892200000005,127.37425800000001
43,대전광역시,굿모닝주유소,대전광역시 서구  계백로 1376 (도마동),현대오일뱅크,N,1297,36.3105234,127.3750771
44,대전광역시,중도석유(주)가장주유소,대전 서구 갈마로 321 (가장동),GS칼텍스,Y,1315,36.3292231,127.38737140000002
45,대전광역시,가득주유소,대전광역시 서구 갈마로 322(가장동),현대오일뱅크,N,1315,36.3289779,127.3868498
46,대전광역시,가원주유소,대전 서구  갈마로 302 (가장동),GS칼텍스,Y,1309,36.330141999999995,127.38537050000001
47,대전광역시,황금주유소,대전 서구 동서대로 1081 (내동),SK에너지,Y,1307,36.3290967,127.38103149999999
48,대전광역시,배재주유소,대전 서구 도솔로 57 (도마동),현대오일뱅크,N,1297,36.3158138,127.37319070000001
49,대전광역시,(주)에너비즈 명품주유소,대전 서구 배재로 218 (도마동),S-OIL,Y,1317,36.3278185,127.3708091
50,대전광역시,배재로주유소,대전 서구 배재로 210 (도마동),SK에너지,Y,1357,36.327268700000005,127.37080790000002
51,대전광역시,선진주유소,대전 서구 배재로 205,현대오일뱅크,N,1279,36.32687730000001,127.370066
52,대전광역시,(주)에너비즈 둔산주유소,대전 서구 유등로 667 (탄방동),현대오일뱅크,Y,1317,36.3464848,127.4014628
53,대전광역시,현대오일뱅크(주)직영 신대전셀프주유소,대전 서구 도산로 213 (변동),현대오일뱅크,Y,1335,36.3282528,127.3777169
54,대전광역시,은하수self주유소,대전 서구 도산로 123,S-OIL,Y,1315,36.3196091,127.3773701
55,대전광역시,씨앤에스유동(주)도안신도시주유소,대전 서구  도안동로 277 (도안동),S-OIL,Y,1328,36.3259999,127.3509287
56,대전광역시,(주)제이에너지 남산주유소,대전 서구 도산로 446 (용문동),GS칼텍스,N,1319,36.341895,127.39846229999999
57,대전광역시,갈마주유소,대전 서구 신갈마로 130,GS칼텍스,Y,1329,36.345155,127.36878689999999
58,대전광역시,우리주유소,대전광역시 서구 도산로 216,GS칼텍스,N,1355,36.327073799999994,127.38076570000001
59,대전광역시,지에스칼텍스㈜ 정림주유소,대전 서구 계백로 1277,GS칼텍스,Y,1359,36.308139700000005,127.36482620000001
60,대전광역시,동현주유소,대전 서구 계백로 1327 (정림동),S-OIL,N,1326,36.3097152,127.36962279999999
62,대전광역시,중동주유소,대전 서구 계룡로 344 (갈마동),알뜰주유소,N,1355,36.3535975,127.36719009999999
63,대전광역시,지에스칼텍스(주) GS내동주유소,대전 서구 내동 대덕대로 24,GS칼텍스,Y,1359,36.3357798,127.37108710000001
64,대전광역시,도마주유소,대전광역시 서구  도산로 27 (도마동),현대오일뱅크,N,1335,36.3119342,127.38207690000002
65,대전광역시,중도석유(주)대덕주유소,대전 서구 월평북로 84 (월평동),GS칼텍스,Y,1375,36.362002600000004,127.37768659999999
66,대전광역시,만년교주유소,대전 서구 계룡로 202 (월평동),SK에너지,Y,1365,36.35057020000001,127.3525472
67,대전광역시,용문주유소,대전 서구 도산로 336 (용문동),SK에너지,N,1355,36.335009299999996,127.38970990000001
68,대전광역시,중도석유(주)월드컵주유소,대전 서구 문정로 12 (탄방동),GS칼텍스,Y,1377,36.3453035,127.38149809999999
69,대전광역시,기성농협주유소,대전 서구 세점길 7 (흑석동),현대오일뱅크,N,1348,36.25456810000001,127.33998600000001
70,대전광역시,괴정주유소,대전 서구 괴정로 113,GS칼텍스,N,1349,36.3377128,127.3856162
71,대전광역시,우리동네주유소,대전 서구 청사로 224,GS칼텍스,Y,1395,36.3594055,127.3887261
72,대전광역시,서남부주유소,대전 서구 계백로 1259 (정림동),SK에너지,N,1388,36.3076175,127.36273259999999
73,대전광역시,(주)우전에너지 대솔밭주유소,대전 서구 계백로 902 (관저동),SK에너지,N,1398,36.2991179,127.3249632
74,대전광역시,대전청사(코끼리),대전 서구 대덕대로 188 (둔산동),SK에너지,Y,1465,36.349595,127.37798590000001
75,대전광역시,구도일주유소 한밭,대전 서구  문정로 3 (둔산동),S-OIL,Y,1445,36.345260100000004,127.3802686
76,대전광역시,유진주유소,대전 서구 동서대로 1069 (내동),S-OIL,N,1487,36.3298819,127.37985570000001
77,대전광역시,한미주유소,대전 서구 월평중로 28 (월평동),S-OIL,N,1477,36.3570039,127.36424
78,대전광역시,삼정주유소,대전 서구 대덕대로 384 (만년동),S-OIL,Y,1497,36.3670905,127.3800186
79,대전광역시,백산주유소,대전광역시 서구  동서대로 1068 (변동),SK에너지,N,1699,36.329322399999995,127.3793756
80,대전광역시,금강주유소,대전 서구 갈마로 174 (괴정동),현대오일뱅크,N,-,36.338448799999995,127.37547350000001
81,대전광역시,(주)퍼스트오일,대전 유성구  현충원로 213 (갑동),현대오일뱅크,Y,1285,36.360530600000004,127.29473270000001
82,대전광역시,롯데마트 서대전점주유소,대전광역시 유성구  유성대로 26-37 (원내동),S-OIL,Y,1295,36.30048379999999,127.32483359999999
83,대전광역시,장대주유소,대전 유성구 유성대로 768 (장대동),현대오일뱅크,N,1295,36.36267470000001,127.35142590000001
84,대전광역시,계림주유소,대전 유성구 현충원로 201 (갑동),SK에너지,Y,1295,36.36044129999999,127.2933518
85,대전광역시,(주)에스엘 성림주유소,대전 유성구  유성대로 752번길 2 (장대동),S-OIL,Y,1295,36.35946819999999,127.33450970000001
86,대전광역시,위성주유소,대전 유성구 현충원로 489 (장대동),현대오일뱅크,Y,1295,36.359741799999995,127.3251242
87,대전광역시,화암동셀프주유소,대전 유성구 대덕대로 804 (화암동),현대오일뱅크,Y,1325,36.4017099,127.37501340000001
88,대전광역시,(주)한진 대정주유소,대전 유성구 대정로 67,S-OIL,Y,1309,36.317203000000006,127.31857430000001
89,대전광역시,태평양주유소,대전 유성구 한밭대로 376 (궁동),SK에너지,Y,1317,36.36280259999999,127.3413074
