,지역,상호,주소,상표,셀프여부,경유,lat,lng
182,세종특별자치시,세종동부농협주유소,세종특별자치시 부강면 부강외천로 10,NH-OIL,Y,1275,36.5274626,127.3719688
183,세종특별자치시,진영주유소,세종 소정면 세종로 4732,현대오일뱅크,Y,1309,36.731209299999996,127.1682263
184,세종특별자치시,소나무주유소,세종특별자치시 전의면 세종로 3907,자가상표,N,1289,36.678828499999995,127.1849284
187,세종특별자치시,굿모닝주유소,세종특별자치시 조치원읍 세종로 2712,자가상표,N,1299,36.62084979999999,127.28716029999998
188,세종특별자치시,신안주유소,세종특별자치시 조치원읍 세종로 2678,알뜰주유소,Y,1299,36.62084979999999,127.28716029999998
189,세종특별자치시,석곡주유소,세종 전동면 하석곡길 64-10,GS칼텍스,N,1308,36.6543171,127.25915590000001
190,세종특별자치시,충청에너지주유소,세종특별자치시 전의면 세종로 3894,GS칼텍스,Y,1308,36.6794288,127.186522
192,세종특별자치시,대영에너지(주)직영 아름셀프주유소,세종특별자치시 금남면 세종로 215,현대오일뱅크,Y,1359,36.4501046,127.28283870000001
193,세종특별자치시,그린주유소,세종 조치원읍 세종로 2706,현대오일뱅크,N,1317,36.62752560000001,127.28995859999999
194,세종특별자치시,남세종농협주유소,세종특별자치시 금남면 성덕영곡길 15,NH-OIL,Y,1318,36.460499600000006,127.2777202
195,세종특별자치시,신원주유소,세종 조치원읍 세종로 2562,SK에너지,Y,1319,36.615033600000004,127.29305579999999
197,세종특별자치시,삼미상사(주)도담셀프주유소,세종특별자치시 갈매로 596(도담동),SK에너지,Y,1344,37.6348265,127.1156625
200,세종특별자치시,범한주유소,세종특별자치시  소정면 세종로 4679,S-OIL,N,1328,36.72827720000001,127.1637753
201,세종특별자치시,덕고개주유소,세종특별자치시 전의면 운주산로 1284,GS칼텍스,N,1330,36.681293700000005,127.1957672
202,세종특별자치시,전의농협주유소,세종특별자치시 전의면 매실로 6,NH-OIL,N,1335,36.691107099999996,127.20465109999999
204,세종특별자치시,흥진주유소,세종특별자치시 조치원읍 신안새동네길 4,GS칼텍스,N,1339,36.6140999,127.29227549999999
205,세종특별자치시,영당주유소,세종특별자치시 전의면 의당전의로 718,현대오일뱅크,N,1339,36.656699100000004,127.1877142
206,세종특별자치시,대보산업(주)전의산업단지주유소,세종 전의면 왕의물로 254,현대오일뱅크,N,1339,36.7003746,127.21056770000001
207,세종특별자치시,세종로주유소,세종특별자치시 전의면 세종로 3880,S-OIL,N,1329,36.6796506,127.18798989999999
209,세종특별자치시,명화제일주유소,세종 전동면 운주산로 224,S-OIL,N,1329,36.64477979999999,127.2761655
211,세종특별자치시,세종주유소,세종 소정면 세종로 4313,현대오일뱅크,Y,1349,36.7001989,127.1508102
212,세종특별자치시,서세종농협주유소,세종 연서면 함박로 122,SK에너지,N,1358,35.23172879999999,128.8670731
213,세종특별자치시,정현제3주유소,세종 부강면 부강외천로 301,SK에너지,N,1339,36.5294995,127.40053490000001
214,세종특별자치시,평산주유소,세종 조치원읍 허만석로 84,S-OIL,Y,1349,36.5882766,127.2992428
215,세종특별자치시,태산주유소,세종특별자치시 소정면 세종로 4274,현대오일뱅크,Y,1349,36.697550299999996,127.1536402
216,세종특별자치시,금빛주유소,세종특별자치시 조치원읍 새내로 182,SK에너지,N,1350,36.60845020000001,127.297292
218,세종특별자치시,장기주유소,세종특별자치시 장군면 장척로 408-7,S-OIL,N,1359,36.4915203,127.1936919
220,세종특별자치시,독립주유소,세종특별자치시 조치원읍 충현로 23,SK에너지,N,1368,36.605574600000004,127.29638270000001
222,세종특별자치시,행복주유소,세종시 부강면 시목부강로 423,GS칼텍스,N,1339,36.504230299999996,127.38550430000001
223,세종특별자치시,CJ대한통운㈜ 중부화물터미널주유소,세종특별자치시 부강면 연청로 745-46,GS칼텍스,N,1379,36.5439377,127.35674750000001
224,세종특별자치시,중앙주유소,세종 조치원읍 새내로 201,GS칼텍스,N,1359,36.6097722,127.29652659999998
225,세종특별자치시,행복도시주유소,세종특별자치시 조치원읍 세종로 2749,SK에너지,Y,1339,36.62084979999999,127.28716029999998
226,세종특별자치시,동유주유소,세종시 조치원읍 새내로 142,SK에너지,N,1369,36.6045114,127.2978162
227,세종특별자치시,백제주유소,세종 소정면 차령고개로 1087,현대오일뱅크,N,1379,36.6917359,127.1556678
228,세종특별자치시,삼정주유소,세종특별자치시 조치원읍 충현로 53,현대오일뱅크,N,1369,36.5938126,127.29770970000001
230,세종특별자치시,전동주유소,세종특별자치시 전동면 운주산로 355,현대오일뱅크,N,1369,36.6538998,127.2658405
231,세종특별자치시,차사랑주유소,세종 부강면 부강외천로 271,S-OIL,N,1375,36.5299277,127.39699509999998
234,세종특별자치시,신사주유소,세종특별자치시 부강면 청연로 71,S-OIL,N,1385,36.5293115,127.370916
238,세종특별자치시,(주)명성,세종특별자치시 조치원읍 세종로 2210,GS칼텍스,N,1398,36.62084979999999,127.28716029999998
240,세종특별자치시,황용주유소,세종특별자치시 금남면 황용1길 40,현대오일뱅크,N,1415,36.480906299999994,127.3268047
242,세종특별자치시,대평주유소,세종시 금남면 용포로 109,GS칼텍스,N,1418,36.468157299999994,127.28146409999998
243,세종특별자치시,승덕주유소,세종 소정면 세종로 4317,GS칼텍스,N,1455,36.7003868,127.1505415
