,지역,상호,주소,상표,셀프여부,경유
0,대전광역시,대전셀프주유소,대전 동구 계족로 436 (용전동),SK에너지,Y,1288
1,대전광역시,(주)덕성하늘셀프주유소,대전 동구 대전로 283,SK에너지,Y,1293
2,대전광역시,(주)하늘셀프주유소,대전 동구 대전로 549,SK에너지,Y,1293
3,대전광역시,산내제일주유소,대전 동구 대전로 269 (대성동),S-OIL,Y,1293
4,대전광역시,재하주유소,대전 동구 동서대로 1664 (성남동),현대오일뱅크,Y,1305
5,대전광역시,현암주유소,대전 동구 동서대로 1494 (삼성동),GS칼텍스,Y,1294
6,대전광역시,광장주유소,대전 동구 계족로 305 (성남동),SK에너지,Y,1289
7,대전광역시,참좋은주유소,대전 동구 계족로 501 (용전동),SK에너지,Y,1309
8,대전광역시,성한주유소,대전 동구 동대전로 320 (가양동),GS칼텍스,Y,1308
9,대전광역시,일등주유소,대전 동구 계족로 249 (소제동),자가상표,N,1299
10,대전광역시,(주)동건에너지 삼호셀프주유소,대전 동구 중앙로 280,현대오일뱅크,Y,1314
11,대전광역시,(주)신영에너지,대전 동구 동대전로 253 (가양동),S-OIL,Y,1315
12,대전광역시,아원주유소,대전 동구 계족로 326 (성남동),현대오일뱅크,Y,1314
13,대전광역시,산내행복셀프주유소,대전 동구 대전로 292 (대성동),SK에너지,Y,1299
14,대전광역시,(주)학하 삼성셀프주유소,대전 동구 대전로 908 (삼성동),S-OIL,Y,1325
15,대전광역시,호원셀프주유소,대전 동구 한밭대로 1315 (용전동),현대오일뱅크,Y,1307
16,대전광역시,고향주유소,대전 동구 산내로 562 (상소동),현대오일뱅크,N,1317
17,대전광역시,태암주유소,대전 동구 대전로 264 (대성동),현대오일뱅크,N,1317
18,대전광역시,매봉주유소,대전 동구 우암로 247 (가양동),SK에너지,Y,1319
19,대전광역시,동아주유소,대전 동구 동대전로 118 (대동),현대오일뱅크,Y,1318
20,대전광역시,유원주유소,대전 동구 계족로 513 (용전동),GS칼텍스,Y,1319
21,대전광역시,태양주유소,대전 동구 한밭대로 1258 (용전동),SK에너지,Y,1309
22,대전광역시,㈜용운주유소,대전 동구 백룡로 77 (용운동),알뜰주유소,Y,1329
23,대전광역시,대성주유소,대전 동구 우암로 316 (가양동),S-OIL,Y,1319
24,대전광역시,sk대동주유소,대전광역시 동구 계족로140번길 73 (용운동),SK에너지,Y,1329
25,대전광역시,(주)한마음석유 대신주유소,대전광역시 동구 계족로 126,GS칼텍스,Y,1348
26,대전광역시,가양주유소,대전 동구 우암로 365 (가양동),알뜰주유소,N,1329
27,대전광역시,내트럭(주)남대전사업소,대전 동구 대전로 15,SK에너지,N,1349
28,대전광역시,서울국제(주) 국제주유소,대전 동구 우암로 300 (가양동),SK에너지,N,1345
29,대전광역시,우정주유소,대전 동구 옥천로 418 (삼정동),S-OIL,Y,1388
30,대전광역시,신가오주유소,대전 동구 은어송로 38 (가오동),SK에너지,N,1379
31,대전광역시,sk네트웍스(주)셀프스토리,대전광역시 동구  홍도로 8-16 (홍도동),SK에너지,Y,1365
32,대전광역시,신고개주유소,대전 동구 새울로 38 (용운동),S-OIL,N,1436
33,대전광역시,동원(대전),대전 동구 옥천로351번길 1-4 (삼정동),SK에너지,N,1499
34,대전광역시,동명주유소,대전 동구 한밭대로 1239 (용전동),SK에너지,N,1576
0,대전광역시,주홍셀프,대전 서구 도산로 475 (탄방동),GS칼텍스,Y,1288
1,대전광역시,탄방주유소,대전 서구 유등로 659,알뜰주유소,Y,1289
2,대전광역시,삼부주유소,대전 서구 변동로 114 (변동),현대오일뱅크,Y,1279
