,20-39세여자,인구수합계,ID,광역시도,시도,매장수
0,23098.0,213846.0,강릉,강원도,강릉시,3.0
1,2529.0,30114.0,고성(강원),강원도,고성군,1.0
2,9753.0,93297.0,동해,강원도,동해시 ,1.0
3,7115.0,69599.0,삼척,,,
4,8752.0,81793.0,속초,강원도,속초시,3.0
5,2481.0,24010.0,양구,,,
6,2171.0,27218.0,양양,,,
7,3134.0,40073.0,영월,,,
8,43164.0,337979.0,원주,강원도,원주시,6.0
9,3449.0,32720.0,인제,,,
10,3297.0,38718.0,정선,,,
11,4714.0,48013.0,철원,,,
12,35422.0,280707.0,춘천,강원도,춘천시,5.0
13,4643.0,47070.0,태백,,,
14,3585.0,43318.0,평창,,,
15,6258.0,70076.0,홍천,강원도,홍천군,3.0
16,2643.0,26264.0,화천,,,
17,3789.0,45991.0,횡성,,,
18,5771.0,62448.0,가평,,,
19,145020.0,1039684.0,고양,,,
20,8315.0,63778.0,과천,경기도,과천시,3.0
21,47807.0,339484.0,광명,경기도,광명시,8.0
22,45073.0,327723.0,광주,경기도,광주시,2.0
23,26941.0,193763.0,구리,경기도,구리시,3.0
24,41049.0,284890.0,군포,경기도,군포시,4.0
25,56279.0,358393.0,수원 권선,경기도,수원시 권선구,5.0
26,58658.0,417163.0,용인 기흥,경기도,용인시 기흥구,10.0
27,49660.0,363443.0,김포,경기도,김포시,8.0
28,86835.0,662154.0,남양주,경기도,남양주시,7.0
29,43619.0,314002.0,안산 단원,경기도,안산시 단원구,7.0
30,61556.0,446233.0,고양 덕양,경기도,고양시 덕양구,10.0
31,11634.0,98277.0,동두천,경기도,동두천시,2.0
32,49730.0,345061.0,안양 동안,경기도,안양시 동안구,10.0
33,36093.0,252353.0,안양 만안,경기도,안양시 만안구,3.0
34,125233.0,851380.0,부천,,,
35,77174.0,503830.0,성남 분당,경기도,성남시 분당구,36.0
36,53671.0,375857.0,안산 상록,경기도,안산시 상록구,2.0
37,144389.0,974580.0,성남,,,
38,41744.333333333336,283793.33333333326,부천 소사,경기도,부천시 소사구,1.0
39,183461.0,1194041.0,수원,,,
40,33210.0,232841.0,성남 수정,경기도,성남시 수정구,2.0
41,47997.0,347833.0,용인 수지,경기도,용인시 수지구,11.0
42,53502.0,402888.0,시흥,경기도,시흥시,5.0
43,97290.0,689859.0,안산,,,
44,22206.0,182896.0,안성,경기도,안성시,2.0
45,85823.0,597414.0,안양,,,
46,24392.0,205513.0,양주,경기도,양주시,4.0
47,10611.0,111367.0,양평,경기도,양평군,1.0
48,12220.0,111563.0,여주,경기도,여주군,3.0
49,4411.0,45907.0,연천,,,
50,56425.0,340654.0,수원 영통,경기도,수원시 영통구,11.0
51,31887.0,208656.0,오산,경기도,오산시,3.0
52,41744.333333333336,283793.33333333326,부천 오정,경기도,부천시 오정구,6.0
53,135898.0,991126.0,용인,,,
54,41744.333333333336,283793.33333333326,부천 원미,경기도,부천시 원미구,6.0
55,21551.0,156763.0,의왕,경기도,의왕시,1.0
56,58697.0,438457.0,의정부,경기도,의정부시,10.0
57,28026.0,210359.0,이천,경기도,이천시,5.0
58,42571.0,292612.0,고양 일산동,경기도,고양시 일산동구,13.0
59,40893.0,300839.0,고양 일산서,경기도,고양시 일산서구,9.0
60,41481.0,296479.0,수원 장안,경기도,수원시 장안구,3.0
61,34005.0,237909.0,성남 중원,경기도,성남시 중원구,2.0
62,29243.0,226130.0,용인 처인,경기도,용인시 처인구,3.0
63,57352.0,430781.0,파주,경기도,파주시,5.0
64,29276.0,198515.0,수원 팔달,경기도,수원시 팔달구,7.0
65,62672.0,470832.0,평택,경기도,평택시,5.0
66,16384.0,154763.0,포천,경기도,포천시,2.0
67,30193.0,211101.0,하남,경기도,하남시,9.0
68,93228.0,640890.0,화성,경기도,화성시,11.0
69,34744.0,257183.0,거제,경상남도,거제시,4.0
70,5609.0,63308.0,거창,,,
71,4486.0,54703.0,고성(경남),,,
72,68849.0,529422.0,김해,경상남도,김해시,9.0
73,2932.0,45129.0,남해,,,
74,21300.0,181797.0,창원 합포,,,
75,25803.0,210791.0,창원 회원,,,
76,9647.0,108354.0,밀양,,,
77,11922.0,114912.0,사천,경상남도,사천시,2.0
78,2461.0,36098.0,산청,,,
79,32213.0,231571.0,창원 성산,,,
80,42205.0,317037.0,양산,경상남도,양산시,7.0
81,2069.0,28111.0,의령,,,
82,33514.0,252435.0,창원 의창,,,
83,42443.0,346739.0,진주,경상남도,진주시,6.0
84,24315.0,187313.0,창원 진해,,,
85,5291.0,63982.0,창녕,,,
86,137145.0,1063907.0,창원,경상남도,창원시,19.0
87,15478.0,138160.0,통영,경상남도,통영시,1.0
88,3779.0,49622.0,하동,,,
89,6747.0,68937.0,함안,,,
90,3022.0,40241.0,함양,,,
91,3180.0,48026.0,합천,,,
92,33298.0,258037.0,경산,경상북도,경산시,6.0
93,26564.0,259452.0,경주,경상북도,경주시,7.0
94,2789.0,34257.0,고령,,,
95,63332.0,419891.0,구미,경상북도,구미시,9.0
96,1566.0,24171.0,군위,,,
97,15254.0,142256.0,김천,경상북도,김천시,2.0
98,28472.0,244748.0,포항 남구,경상북도,포항시 남구,7.0
99,6467.0,74702.0,문경,경상북도,문경시,1.0
100,2271.0,33539.0,봉화,,,
101,31791.0,272027.0,포항 북구,경상북도,포항시 북구,4.0
102,8158.0,101799.0,상주,,,
103,3660.0,45205.0,성주,,,
104,17781.0,168798.0,안동,경상북도,안동시,2.0
105,2758.0,39052.0,영덕,,,
106,1192.0,17713.0,영양,,,
107,9630.0,109247.0,영주,,,
108,8980.0,100521.0,영천,,,
109,3494.0,46166.0,예천,,,
110,863.0,10001.0,울릉,,,
111,4498.0,51738.0,울진,,,
112,3326.0,54014.0,의성,,,
113,3037.0,43564.0,청도,,,
114,1756.0,26301.0,청송,,,
115,16831.0,123199.0,칠곡,,,
116,60263.0,516775.0,포항,,,
117,57338.0,403049.0,광주 광산,광주광역시,광산구 ,11.0
118,28859.0,219729.0,광주 남구,광주광역시,남구,7.0
119,12008.0,95791.0,광주 동구,광주광역시,동구,7.0
120,60644.0,441066.0,광주 북구,광주광역시,북구,10.0
121,43352.0,309579.0,광주 서구,광주광역시,서구,14.0
122,19722.0,156433.0,대구 남구,,,
123,77782.0,591891.0,대구 달서,대구광역시,달서구,18.0
124,29407.0,218268.0,대구 달성,대구광역시,달성군,2.0
125,44155.0,351352.0,대구 동구,대구광역시,동구,8.0
126,56497.0,440383.0,대구 북구,대구광역시,북구,7.0
127,22923.0,199507.0,대구 서구,대구광역시,서구,1.0
128,52594.0,447011.0,대구 수성,대구광역시,수성구,18.0
129,11124.0,79712.0,대구 중구,대구광역시,중구,9.0
130,24229.0,192688.0,대전 대덕,대전광역시,대덕구,4.0
131,29621.0,234959.0,대전 동구,대전광역시,동구,4.0
132,72077.0,491011.0,대전 서구,대전광역시,서구,21.0
133,51790.0,343222.0,대전 유성,대전광역시,유성구,11.0
134,32108.0,252490.0,대전 중구,대전광역시,중구,7.0
135,16329.0,108909.0,부산 강서,부산광역시,강서구,2.0
136,30945.0,244624.0,부산 금정,부산광역시,금정구,7.0
137,21569.0,158527.0,부산 기장,부산광역시,기장군,3.0
138,34852.0,278779.0,부산 남구,부산광역시,남구,6.0
139,9778.0,89826.0,부산 동구,부산광역시,동구,2.0
140,34291.0,272745.0,부산 동래,부산광역시,동래구,7.0
141,52863.0,376526.0,부산 부산진,부산광역시,부산진구,17.0
142,40630.0,310202.0,부산 북구,부산광역시,북구,2.0
143,30196.0,232800.0,부산 사상,부산광역시,사상구,3.0
144,42333.0,334603.0,부산 사하,부산광역시,사하구,7.0
145,13204.0,112973.0,부산 서구,부산광역시,서구,3.0
146,25153.0,179324.0,부산 수영,부산광역시,수영구,7.0
147,27040.0,207268.0,부산 연제,부산광역시,연제구,5.0
148,13183.0,126362.0,부산 영도,,,
149,5300.0,45208.0,부산 중구,부산광역시,중구,6.0
150,53853.0,419853.0,부산 해운대,부산광역시,해운대구,27.0
151,94421.0,567115.0,서울 강남,서울특별시,강남구,76.0
152,65184.0,444168.0,서울 강동,서울특별시,강동구,13.0
153,44053.0,327195.0,서울 강북,서울특별시,강북구,5.0
154,96755.0,595485.0,서울 강서,서울특별시,강서구,14.0
155,91299.0,506851.0,서울 관악,서울특별시,관악구,10.0
156,61477.0,357215.0,서울 광진,서울특별시,광진구,14.0
157,63925.0,417551.0,서울 구로,서울특별시,구로구,10.0
158,33146.0,235386.0,서울 금천,서울특별시,금천구,10.0
159,77491.0,567581.0,서울 노원,서울특별시,노원구,12.0
160,46810.0,348220.0,서울 도봉,서울특별시,도봉구,2.0
